system   D            wsystem.c:583  maybe_parent_dir                 [   0.00105] Also searching C:\Users\Talha\Desktop\move\
display  D   display_settings.c:191  debug_display_settings           [   0.02202] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02207] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02210] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02215] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02218] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02222] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.02228] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.02262] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.02269] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03848] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.06755] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.06762] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.06770] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.06778] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.06784] Returning d3d_display: 00A01260
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.06787] al_display=00A01260
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.06790] al_display->vt=00A010C0
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07081] Failed loading r1.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07097] Failed loading r2.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07113] Failed loading r3.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07124] Failed loading a1.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07132] Failed loading a2.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07139] Failed loading a3.png with .png handler.
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.07145] Failed loading a4.png with .png handler.
